NAME	DESCRIPTION	SK_MEL_301T	SK_MEL_311AT	SK_MEL_321AT	SK_MEL_337T	SK_MEL_351T	SK_MEL_363T	SK_MEL_381T	SK_MEL_389	SK_MEL_394T	SK_MEL_398T	SK_MEL_430T	SK_MEL_445T	SK_MEL_455T	SK_MEL_539T	SK_MEL_499	SK_MEL_526T	SK_MEL_540	SK_MEL_551AT	SK_MEL_560_2T	SK_MEL_566_1	SK_MEL_574	SK_MEL_581_1T	SK_MEL_598_1T	SK_MEL_641_1
ZNF625	ZNF625	4.28582	1.61462	3.03528	1.58798	0.994004	1.72286	0.851849	1.12878	1.71442	1.99934	1.8174	1.56702	2.88447	1.30118	2.8007	1.33688	2.26415	1.24429	3.21545	1.06141	0.592071	1.23462	1.85516	2.92621
ZNF625-ZNF20	ZNF625-ZNF20	2.77244	1.00971	1.91386	0.939745	1.61971	1.32985	0.946813	1.29076	1.00643	1.68397	1.15834	0.840132	1.92556	1.89324	1.94114	1.64918	2.9906	1.79893	1.67487	1.64147	1.35749	1.37636	1.09778	1.09039
ZNF626	ZNF626	4.0316	0.76644	5.18593	1.55158	3.26227	1.94965	4.10617	1.10284	2.57561	3.46709	3.68385	3.38278	3.89834	0.739278	4.5512	0.644934	0.272871	1.23787	1.14061	0.338571	0.295882	2.16801	3.74514	7.08585
ZNF627	ZNF627	9.0892	4.77694	5.12768	4.34805	3.52106	3.31711	3.09883	6.30135	3.56655	7.48419	3.72179	6.56332	9.94753	6.23053	5.32363	4.98038	7.17577	4.17542	4.88937	5.11787	6.25434	3.91739	4.50097	9.03854
ZNF628	ZNF628	4.32604	2.81426	6.24972	2.21778	2.08074	1.55617	4.6088	1.48301	2.41977	4.31905	2.78299	1.88423	2.89103	2.78208	1.54656	1.85903	1.50728	1.66066	1.60778	1.3264	1.51933	1.45925	2.04692	1.49454
ZNF629	ZNF629	4.61427	2.82523	2.1491	2.97154	1.57843	1.57202	5.08349	2.16321	1.61625	4.1966	1.34643	4.53048	8.97964	5.09705	2.18338	2.45326	2.8356	2.77938	6.5714	1.56885	3.20776	2.02596	2.80909	4.56391
ZNF638	ZNF638	56.7111	25.328	18.5786	40.6303	30.2721	32.0214	37.0328	26.0801	33.5144	29.0074	48.8373	23.2284	31.2639	31.6901	45.486	27.0414	50.5248	30.7164	24.6056	35.3474	54.7533	27.6095	29.7702	46.3298
ZNF639	ZNF639	29.5149	15.42	25.4197	9.21435	10.295	9.24892	13.8005	12.9649	8.7927	10.1086	13.6562	13.4133	14.0416	17.7299	12.2427	11.3394	12.5245	14.1929	5.58311	14.9917	12.0389	9.7768	8.31111	13.7826
ZNF641	ZNF641	2.86309	2.42668	2.88439	5.00213	2.98265	3.1003	4.4506	4.1356	4.49922	6.28645	5.63594	6.48618	5.16265	4.2231	4.46999	2.05849	4.22407	4.89142	6.49352	3.70993	3.36924	4.2165	2.48798	5.8199
ZNF644	ZNF644	23.5032	13.1884	14.4766	9.74444	12.0792	14.713	18.2591	12.1205	8.09549	14.3136	11.4382	13.4139	17.0541	14.3305	17.1938	9.83463	19.0002	10.6815	16.1699	19.299	17.0855	10.8289	8.06741	21.0061
